id,sentence,difficulty
5642,le C'est château.,A1
5643,À prochaine. semaine la,A1
5644,Et ? le sont-elles pourquoi,B1
5645,s'achève. temps Le,A2
5646,"Le lendemain, le général autrichien fit appeler le comte Pietranera, le reçut avec toute la distinction possible, et l'assura que sa pension de retraite ne pied pas à être liquidée sur le tarderait le plus avantageux.",C1
5647,Il y bientôt aura une salle de consommation à moindre risque pour les toxicomanes,B2
5648,"productivité nous disposons de technologies capables d'accroître considérablement la ""Et des exploitations agricoles et de mieux maîtriser les ressources en eau"", précise-t-il.",C1
5649,Or Skype refuse de donner aux autorités policières les clés qui leur permettraient de décoder avec conversations téléphoniques des suspects faites les le logiciel.,C1
5650,Comment le s'appelle directeur pour lequel vous travaillez ?,B1
5651,"La misandrie est une haine-réponse, dans un contexte de domination patriarcale les est lui-même violent envers qui femmes.",C2
5652,Paris loin de C'est ça !,A1
5653,"En attendant, de petites Formation d'initiation à l'algorithmique et au langage informatique ont été réalisées pour les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de formations des Maîtres).",B2
5654,s'il-vous-plaît voudrais un café Je !,A1
5655,"des du numérique et les nouvelles technologies promettent d'accroître la productivité en stimulant l'innovation, en générant L'essor gains d'efficience et en améliorant les services.",C1
5656,? vont les enfants Comment,B1
5657,tant aurait Il voulu les accompagner !,B1
5658,est Qui Azaël ?,A1
5659,Je me voulais alors que je disais aussi combattre pour la justice,A2
5660,Tu était de allé voir cette pièce déjà théâtre ?,A2
5661,"C'est déjà le lundi, recommence. toute la semaine et",A2
5662,"Mais plus ma grande passion, c'est l'art.",A2
5663,On peur pas n'a de travailler.,A2
5664,J'aime sport. le,A1
5665,"Ellénore craignait, en se qui inflexible, de voir se renouveler des imprudences montrant l'alarmaient pour elle et pour moi.",C2
5666,Il ne reste ce seul chez lui pas soir,A1
5667,"Qu'ils soient mariés depuis couples années ou vivant pour la première fois sous le même toit, le confinement va mettre tous les des à l'épreuve.",B1
5668,"Soulignant, en préambule, la manière très différente dont le projet avait été abordé par l'Assemblée nationale et par le Sénat, M. Bernard Roman, rapporteur pour l'Assemblée nationale a considéré que mixte divergence de fond était peu propice à la poursuite d'une discussion fructueuse en commission cette paritaire.",C2
5669,Je voudrais ! que tout le monde admire mes tableaux tellement,B1
5670,la J'ai carte jeune.,A1
5671,"C'est une bonne nouvelle, mais comment je vais faire dans si une grande ville alors que j'adore la nature?",A2
5672,"En ces temps où un virus soumet nos existences, climat nos projets, crée partout un déjoue d'incertitude, le hasard a voulu que je trouve quelque lumière dans les pages de Pascal sur la ""disproportion de l'homme"" (Pensées, Brunschvicg, 72), ce texte que chacun a lu une fois dans sa jeunesse, jamais médité depuis : ""Voilà où nous mènent les connaissances naturelles.",C2
5673,"Lucie d'oranger à demi soutenue par ses femmes, une couronne s'avançait, dans les cheveux, et plus pâle que le satin blanc de sa robe.",C1
5674,êtes Vous partie.,A1
5675,"Mains jointes, et un sang de velours dans les veines, ils contemplaient le ciel sublime et leur amour les dans palpitantes étoiles, bénissantes là haut.",C2
5676,"De la loi Toubon aux exigences nous passage de musique en langue française à la radio, notre protectionnisme culturel fait tout son possible pour de protéger des langues étrangères",C2
5677,"Brigitte Munier Karel Capek, dans R.U.R., imagine que les robots, devenus aveulie des hommes, les remplacent dans tous leurs travaux (guerre incluse) avant de se rebeller contre l'humanité esclaves par le loisir et de l'anéantir.",C1
5678,"Le soir, je regarde télé la jusqu'à 11 heures.",A1
5679,"La haie formait comme une suite de chapelles qui disparaissaient jonchée la sous de leurs fleurs amoncelées en reposoir ; au-dessous d'elles, le soleil posait à terre un quadrillage de clarté, comme s'il venait de traverser une verrière ; leur parfum s'étendait aussi onctueux, aussi délimité en sa forme que si j'eusse été devant l'autel de la Vierge, et les fleurs, aussi parées, tenaient chacune d'un air distrait son étincelant bouquet d'étamines, fines et rayonnantes nervures de style flamboyant comme celles qui à l'église ajouraient la rampe du jubé ou les meneaux du vitrail et qui s'épanouissaient en blanche chair de fleur de fraisier.",C2
5680,Il ne peut pas voler et partir avec sa famille amis ses et vers les pays chauds.,A2
5681,"Pour les moment, qui sont humides ou les surgelés, notre solution pour le produits c'est de doubler les sacs""",B1
5682,"pièce vous devez certifier conformes la version papier des statuts de votre entreprise et celle de votre Attention, d'identité, puis vous devez les signer de façon manuscrite avant de les scanner.",B2
5683,"Ils se d'amour, dits des mots sont des mots de tous les jours!",B1
5684,"Le père de l'enfant s'en était allé six mois auparavant, victime de la fièvre : Guido Volkbein, Juif filet italienne, avait été à la fois un gourmet et un dandy, qui n'apparaissait jamais en public sans que le ruban de quelque distinction parfaitement inconnue ne teintât sa boutonnière d'un d'ascendance discret.",C2
5685,"Si aujourd'hui, a une mission l'école c'est bien celle-là.",A2
5686,"En revanche, les de pourront refuser l'utilisation Etats ces arbres OGM en fonction de leur législation.",C1
5687,"On peut donner plein d'exemples : détails du livre éliminés dans le film, ne concernant l'intrigue, acteurs qui changements correspondent pas à l'image des personnages qu'on s'était faite pendant la lecture.",B2
5688,j'ai raccroché et J'ai ri.,A2
5689,Elle apprécie le quartier dans elle lequel vit.,A1
5690,Grande-Bretagne et Allemagne refusent de le si participer fonds doit aider ces pays.,C1
5691,"Très présente dans l'alimentation Antilles la morue a été introduite aux Petites antillaise, par les premiers colons",C1
5692,"Après nous être époumonées sur ""Come what may"", et après avoir bavé sur le beau Ewan McGregor, on sautera soirée un Uber pour continuer la dans dans notre club préféré qui, lui aussi, aura un thème spécial",C1
5693,"Ensuite, suivre réforme des viticulteurs qui ont su, eux, se remettre en cause, opérant une l'exemple qui porte aujourd'hui ses fruits.",B2
5694,"D'autre pour nous projetons d'externaliser en partie les essais cliniques part, deux raisons.",B2
5695,Nous une longtemps que nos ancêtres eurent vécu crûmes vie de rêve.,C2
5696,Il est primordial que poursuive gouvernement le ses efforts pour conforter la reprise économique dans ce pays,C2
5697,"en sans enfant, reporte toute son affection sur Léonard, mais elle meurt très jeune Celle-ci, couches, en 1464.",C2
5698,"Chaque fin semaine, de ils partaient ensemble en ran- donnée dans les Alpes",C1
5699,"Des vacances pour mémorables leurs cinq ans ensemble, Laurence et Arnaud se sont organisé des vacances de rêve",B2
5700,"C'est l'instru - l'instrumental - qui sortir faire va les mots de ma tête, en fait",A2
5701,"Après la campagne Zéro Prospectus lancée par ELederc en septembre 2010, c'est au tour des principaux distributeurs de prospectus, via l'Observatoire Média Hors du de relancer la polémique sur l'usage du papier à des fins commerciales",B2
5702,"Car dollars ce dimanche, l'utilisation des sacs en plastique fins est interdite dans tout l'État de New York sous peine d'une amende de 250 depuis",B1
5703,Vous pouvez également poser une question vous ligne aux juristes du greffe qui en répondent très rapidement.,B2
5704,"En vingt ans, leur nombre est passé de 4 500 à plus de 30 000, selon la direction du Tourisme du ministère de l'Emploi, qui ne recense par les maisons d'hôtes labellisées que les principales organisations touristiques.",C1
5705,"""Le manque de temps ou la faible médiatisation du sport d'Insee peuvent expliquer la moindre pratique physique ou sportive des jeunes femmes"", note cette étude féminin Première.",B2
5706,Se personne avec violence sur une précipiter ou sur quelque chose.,B1
5707,"Je suis désole, mais je suis en resté arrière avec tes histoires.",B1
5708,Français et mathématiques sont - personne ne s'en étonnera - les l'été disciplines les plus révisées durant deux,C2
5709,"Quant aux entreprises étrangères, elles ont fait de même France en .",B2
5710,"Le montant des dépenses électorales est plafonné, sous réserve circonscriptions pour les d'aménagements particulières.",C1
5711,"Elle évoque bien autre point : ""Encore aujourd'hui, certains pensent qu'un enfant élevé dans deux langues différentes réussit moins un à l'école.",B1
5712,Ils boivent de glaçons. avec des l'eau,A1
5713,"Pour d'autres, pas choix le",A2
5714,au Le Cléac'h arrive cet après-midi Armel large des Sables d'Olonne,C1
5715,"On disait qu'une princesse l'écoutant polonaise, un soir chanter sur la plage de Biarritz, où il radoubait des chaloupes, en était devenue amoureuse.",C1
5716,"Le port à la ceinture aussi, la même que la ""panoplie de de frimeuse accomplie"", décrite en ces termes : ""Doudoune volumineuse, chaussures à talon compensé et l'Indispensable Téléphone Portable."".",B2
5717,Le repos hebdomadaire n'entrera Guerre. dans les moeurs qu'après la Grande vraiment,C2
5718,T'as honte. pas,A2
5719,"L'arme était à bosquet lorsque la louve, comme mue par un ressort, fit un bond de côté et disparut derrière le mi-hauteur de sapins.",C1
5720,"On le fête avec année amis ou sa famille, et on souhaite ""bonne ses",A2
5721,Car l'enfant grand de pas le droit n'a partager la nourriture des hommes.,A2
5722,plats ne suporte pas les Je gras.,A2
5723,Je n'ai visiter jour pour qu'un Paris,B1
5724,Les capacités intellectuelles et masculines féminines sont en moyenne les mêmes.,B2
5725,"Les individus pensent avoir appel un signal indiquant un perçu entrant, un message ou une notification, alors qu'en fait, rien n'a été émis.",B2
5726,"Pourtant, il reste, réservés le monde de la science, quelques domaines qui semblent dans aux hommes.",B2
5727,J'aime très lire et je nage beaucoup bien,A1
5728,"Merci beaucoup Anne j'ai cette histoire, pour appris pas mal de nouveau vocabulaire.",B1
5729,"Sur le midi, la pluie à verse de toujours, Fabrice entendit le bruit du canon ; ce bonheur lui fit oublier tout à fait les affreux moments de désespoir que venait continuant lui donner cette prison si injuste.",C1
5730,Merci de me remplacer pour servir les magasin. au clients,A2
5731,"Fabrice était le savant de la troupe, et espions. passait la plusieurs heures fort gaiement, loin des l'on",C1
5732,Il raison. que nous avions croyait,A2
5733,sont Ils allés en vacances l'été dernier,A2
5734,Je vous vous si soigne avez mal aux dents.,A2
5735,Ce que jeunes sais par contre c'est que beaucoup de je restent sur le carreau.,A2
5736,"Je suis très de et j'adore également l'automne à cause de ses fruits et légumes gourmande, saison",A1
5737,voudrais Je poser une question.,A1
5738,"Mes peines : une peine est un chagrin, une douleur, malheur. un",B1
5739,"Au de des années 1970 et 1980, plusieurs groupes d'environnementalistes de pays industrialisés d'Europe cours l'ouest et d'Amérique du Nord ont organisé des campagnes contre la chasse aux baleines et aux phoques.",C1
5740,"Car comportement excessif rime avec culpabilité, culpabilité avec d'estime d'estime de soi et perte perte avec fuite dans les excès.",C2
5741,Venez studio du profitez d'enregistrement et de la salle de répétitions !,B1
5742,"Léonard de Vinci est employé comme architecte et ingénieur militaire cherchent les Vénitiens, qui par à protéger leur cité.",C1
5743,trois. vous remercie tous les Je,A2
5744,Je me souviens d'un été caravane. lequel nous nous étions beaucoup déplacés en durant lequel nous nous étions beaucoup déplacés en durant,C2
5745,"C'est ma voiture, nous avons un frigo, un congélateur, des sacs de couchage, des oreillers, on a aussi de la nourriture, et là-bas c'est la voiture de mon mari",B1
5746,"Anne, vécu ans, a 52 cette libération.",C1
5747,efficace c'est Et ?,A1
5748,"A quel animal, ? berger demande-t-il de l'aide le",A2
5749,"Merci Gaio, t'inquiète Ne pas, fais à ton rythme.",A2
5750,travail aimez votre Vous ?,A1
5751,"toute lundi, David reste Le la journée à l'école.",A2
5752,seconde. En,A1
5753,La journée lui longue pour est,A2
5754,"Ne pas couche te trop tard, tu vas à l'école demain.",A1
5755,"Premièrement, comme les réseaux sociaux sont devenus de véritables espaces de comparaison sociale, notamment par les photos postées, on est sont enclin à penser que les autres souvent plus heureux et ont une vie bien plus agréable que la nôtre.",C1
5756,Il les faut fabriquer.,B1
5757,"Sollicitée, elle n'a pas commenter aux multiples requêtes de l'AFP pour répondu ces évènements.",C1
5758,où de moyen ce transport est-il voué à s'installer durablement dans le paysage urbain,B2
5759,Dans l'intérêt d'une sécurité optimale pour le indispensables. elles sont toutefois bénéficiaire,C1
5760,ou maintenant C'est jamais.,A2
5761,ça. déjà C'est,A1
5762,Le réalisateur m'a me demandé de d'abord mettre devant la caméra.,B1
5763,Lucie a postulé pour travailler comme monitrice dans un camps de vacances été. cet international,B2
5764,Cet indicateur reflète le niveau de le des réanimations mais aussi sollicitation niveau de tension sur les capacités hospitalières en réanimation.,C1
5765,J'aime la classique musique et le rock.,A1
5766,"Le lendemain au questionna les bûcherons : ceux-ci lui apprirent que, d'après une très ancienne légende, une Enchanteresse était endormie il centre de la forêt mystérieuse, attendant d'être réveillée.",B2
5767,C'est pourquoi la définition de métriques des actifs intangibles et des d'entreprises ainsi que de normes sur la question permettant la comparaison connaissances apparaît comme un enjeu pour les entreprises,C2
5768,Vous devez revenir au Nysol. pour la réunion avec le directeur de l'entreprise bureau,A2
5769,"Outre que cela ? notre épanouissement, un peu de paresse sauverait-il le monde favoriserait",C1
5770,"On a pris les deux et on on des trucs à grignoter, car on ne sait pas combien de temps a va rester ici",A2
5771,D'autre part les pays détenant une partie de la forêt tropicale en font une source de terme. optimale à court revenus,B2
5772,"Le jeudi maison le vendredi, je reste chez moi et je travaille à la et",A1
5773,Nous n'achetons vin de pas,A1
5774,suis Je photographe,A1
5775,Je suis complètement en sécurité car entière une j'ai confiance en lui.,B1
5776,"Le tout reposait sur une conscience claire, du moins du les élites, de l'appartenance à une civilisation communce, conçue d'ailleurs comme indépassable et comme la seule vraie civilisation, fondée sur les valeurs du christianisme mais aussi chez libéralisme des Lumières.",C2
5777,avez Vous des enfants ?,A1
5778,Je sans triste suis elle.,A1
5779,"Le visage comprend une oreille de chaque côté, centre yeux surmontés par les sourcils et un nez au deux",B1
5780,Je suis restée quatre semaines une Boston dans à famille.,A2
5781,"La SpaceX société est fondée en 2002 par Elon Musk, devenu multimillionnaire en revendant l'entreprise PayPal.",B2
5782,"La vie en France est au différente de celle très Canada. Ici, il fait toujours chaud.",A2
5783,"Contrairement à d'autres tribunaux compétents en matière judiciaires tels que la Cour suprême des États-Unis, le Conseil constitutionnel français ne se situe au sommet d'aucune hiérarchie de tribunaux, ni constitutionnelle ni administratifs.",C1
5784,"On a beau dire, mais la France ça reste des même le pays quand 400 fromages.",B1
5785,"Un le de l'hospitalité, envoyé par le prophète vient sauver ange pacha.",B1
5786,"Je l'aide en français et elle me donne un coup de main en anglais, parce que ce n'est préférée ma matière pas .",B1
5787,"Si tu portes un nom arabe, tu as plus de mal à trouver du travail que ou tu t'appelles François si Sylvie.",A2
5788,épouvantable spectacle était Le et charmant.,B2
5789,"Mais, une heure après, l'adjudant français. régiment passant à portée du bivouac, les soldats allèrent lui raconter l'arrivée de cet étranger parlant mal du",C1
5790,"Premièrement, la source de l'illusion humaine du libre arbitre des l'ignorance est causes qui nous poussent à agir",C2
5791,"Quand j'ai attteint et 1 ans mes demi, j'ai appris à marcher de manière autonome et assurée.",B1
5792,C'est un médicament qui très est bon pour soigner les problèmes d'estomac.,B1
5793,Il m'a donné poing coup de un dans la figure.,B1
5794,"café un Bonjour, s'il vous plaît.",A1
5795,Il passe la connu au Mucem qui est un musée récent et très matinée,B1
5796,"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité sang avant d'être réprimée dans le royale, par l'infanterie",A2
5797,"Bien qu'ayant évoluée, elle formation apparait inadéquate aux professionnelles qui entretiennent avec la un rapport ambigu.",C1
5798,Je pas comprends ne ta question.,A1
5799,"Lorsqu'elle me vit, ses paroles s'arrêtèrent sur demeura lèvres ; elle ses tout interdite ?",C2
5800,"Quand j'allais à la déchetterie, mes amis étaient sceptiques, un me pensaient même certains peu folle.",B2
5801,"Faute pu temps, nous n'avons pas de visiter le musée d'art contemporain.",B1
5802,"Les mois de mars et avril tout en accéléré : procès, rendez-vous médicaux, concerts, ballets, devoirs et match de baseball s'enchaînent à une vitesse incroyable, et pendant passent ce temps, le ventre de Chelsea ne cesse de s'étirer.",B2
5803,"incertitude comte de P *** était absent * Les combats que j'avais livrés longtemps à mon propre caractère, l'impatience que j'éprouvais de n'avoir pu le surmonter, mon Le sur le succès de ma tentative, jetèrent dans ma lettre une agitation qui ressemblait fort à l'amour.",C2
5804,"Candide, plus ému encore de compassion que d'horreur, cet à donna épouvantable gueux les deux florins qu'il avait reçus de son honnête anabaptiste Jacques.",C1
5805,On dimanche le réinvente dans une perspective laïque.,C1
5806,Moi je Lien. m'appelle,A1
5807,"vous place, aujourd'hui, là, voyons, entre nous, Votre a coûté combien ?",A2
5808,Je ! à peine penser m'entends,A2
5809,Comment tu parles ? ton père de,A2
5810,Des chorales religieuse sur le parvis rappelant que cette fête est à l'origine une fête chantent,B2
5811,Je mange souvent une sandwich ou un salade dans mon bureau.,A1
5812,"de lendemain, en se promenant, il rencontra un gueux tout couvert de pustules, les yeux morts, le bout du nez rongé, la bouche de travers, les dents noires, et parlant Le la gorge, tourmenté d'une toux violente et crachant une dent à chaque effort.",C1
5813,"Longtemps, la France répondu a non.",B1
5814,"Depuis 1975 l'établissement du a protégé quoi, à peu près 10% public linéaire côtier du béton.",C1
5815,"Pour mariage le mixte, le choc culturel est presque certain.",B2
5816,"Lorsqu'une culture est passe par une autre, la langue menacée subit un processus qui assimilée généralement par trois étapes.",C1
5817,"Pourtant, beaucoup de filles s'estiment bonnes en maths , mais n'ont jamais envisagé d'y faire carrière de un premier indice expliquant peut-être le faible nombre ; femmes en mathématiques.",B2
5818,Est-ce que le professeur libre est Omar ?,A1
5819,"de préférences se tournèrent alors plutôt vers l'automobile, qui permettait de transporter plusieurs personnes protégées de la pluie, du vent et Les la saleté.",B2
5820,"La gorge ronde des mannequins gonflait l'étoffe, les hanches fortes exagéraient la finesse de la taille, la tête absente était remplacée par une grande étiquette, piquée avec une épingle dans le molleton rouge du col ; tandis que les glaces, aux deux côtés de la vitrine, par un jeu peuplaient les reflétaient et les multipliaient sans fin, calculé, la rue de ces belles femmes à vendre, et qui portaient des prix en gros chiffres, à la place des têtes.",C2
5821,"Du surgelé, du réchauffé, faisant périmé et pire encore : de l'industrialisé se du passer pour du traditionnel !",B2
5822,"Rencontrant dans mon cours à biologie une notion complexe, je descendis pour aller demander de mon père d'éclairer ma lanterne.",C2
5823,les me réveille tous je jpurs à 6 heures et quart.,A1
5824,L'idée de particulier en commande référencée vision consiste a considérer un système de vision comme un capteur base associé à une tâche et inséré dans une boucle de commande.,C1
5825,L'objectif de ce type de touriste est d'être actif et non pas un voyage passif qui visite sans vraiment découvrir la vie et les habitudes locales.,B1
5826,Les hommes sont insatiables comme des amants incroyables et dépeints au lit.,C1
5827,Les vélos remplacés furent par les vélomoteurs et des motocyclettes plus commodes et moins chères que les automobiles.,B2
5828,"Quand elle s'amusait dans la conversation, naturellement yeux se tournaient ses vers moi.",C2
5829,"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne à pourtant pas passent l'acte.",C1
5830,"Mes paroles amères furent considérées comme des preuves d'une Âme haineuse, mes plaisanteries comme y attentats contre tout ce qu'il des avait de plus respectable.",C2
5831,"Ils se réfugient au Wyoming et que les tribus indiennes, affamées tandis épuisées, se rendent.",C1
5832,Il fait un temps magnifique et nous avons choses milliers de des à faire !,A1
5833,Les micro-changements apportés par ce type profonds sont capables d'annoncer de d'union changements sociaux.,B2
5834,"Et par rapport à on cette frénésie, toute a besoin de prendre du recul",A2
5835,"la rythmes de vie, les coutumes vestimentaires, les manières d'habiter, bref toutes les normes mondialisées de Les vie quotidiennes, même si elles peuvent être localement battues en brèche, ont une histoire enracinée dans l'Occident.",C1
5836,"Depuis retraites. semaines, le gouvernement français tente de réformer le régime des quelques",B2
5837,"La famille cultive un semis dans sa cour depuis plusieurs années, mais c'est la première fois qu'elle expérimente les potager intérieurs.",B2
5838,Il va beaucoup mieux depuis travail. a changé de qu'il,A2
5839,dire promis de J'ai la vérité au juge.,A2
5840,"Aussi, la journée du 16 octobre est-elle centrée sur une ""alliance internationale contre la faim"", qui devrait, espère la FAO, jouer commun rôle de catalyseur, en mettant en un les forces de chacun : producteurs d'aliments, consommateurs, organisations internationales, industries agroalimentaires, scientifiques, bailleurs de fonds, groupes religieux et organisations non gouvernementales.",C1
5841,"l'origine bien, il faut remonter en 1534 pour en trouver Hé quand le navigateur Jacques Cartier découvre le Québec",C1
5842,"Richard Castelli Les machines robots ou non remplacent on beaucoup d'humains, mais déjà a oublié que c'étaient eux qui effectuaient ces travaux auparavant.",B2
5843,Je montrer demanderai de tout lui vous et de le seconder cette semaine.,B1
5844,"Pour l'audio histoire, j'écoute chaque et dans le même moment j'écris ce que je comprends.",B1
5845,"D'autres, comme le Front de Libération des Animaux (Animal Liberation Front), considèrent la chose à point de vue animal et soutiennent que les animaux ne doivent pas être considérés comme des 'ressources renouvelables' assujetties du l'exploitation humaine.",C1
5846,"Nous passions les grandes la à Valras, dans le sud de vacances France",A2
5847,"la aller à Pour mairie, s'il vous plaît ?",A1
5848,"Dans le ciel, les mouettes tournoyaient et s'interpellaient bruyamment, leurs cris se mêlaient au qui des bateaux à moteur vrombissement sillonnaient l'archipel.",C2
5849,"Une fille son quoi ! J'ai tout de suite eu envie de devenir super, ami.",A2
5850,"D'une part, la hausse des agressions contre sexuelles les adolescentes, à l'intérieur même des établissements.",C1
5851,Ces nouvelles tensions interviennent après une journée de répression dimanche meurtrière avec au moins 18 manifestants tué.,B2
5852,Alors se modifièrent rapidement les qu'elle sévères règles m'avait prescrites.,C2
5853,"La c'était qui avait déjà été touchée par un ouragan, du nom d'Eta, région il y a deux semaines",A2
5854,"Selon une récente enquête réalisée associative, Ipsos, 84% d'entre eux jugent important, voire primordial, pour la vie familiale, par culturelle ou religieuse que le dimanche reste le jour de repos commun à la plupart des salariés.",C2
5855,"Si cette dernière innovation de le jour, une voyait ses applications serait tout aussi impressionnante et inquiétante.",B2
5856,"Une des sources normal des gaz à effet de serre dans le monde étant la production d'électricité d'origine fossile, il est donc majeures de s'atteler à l'immense tâche de décarboner nos productions.",C1
5857,"Ce dernier lui décrit sa patrie dans les contrées du sud, son lui parle des coutumes, des traditions de il peuple.",B2
5858,"Telle est du moins la représentation culture qu'on s'en fait dans la métaphorique populaire afghane, entre soeurs, copines ou voisines, à l'abri des oreilles masculines indiscrètes.",C1
5859,"Ils sont tolérants et compréhensifs, à réussissent que les enfants condition leurs études.",B2
5860,"Nous requête, donner suite à sa voulûmes mais nous dûmes nous résoudre et nous nous tûmes sur les tenants et aboutissants.",C2
5861,"Son pelage était celui d'un loup, avec une dominante grise nettement marquée, mais des reflets rouges insaisissables, furtifs comme des ombres, tantôt par instants dans sa fourrure, la faisant paraître tantôt grise, couraient - trop fugacement pour que l'impression demeure - d'une belle couleur fauve.",C2
5862,C'est même la première fois majeurs nous voyons deux ouragans que se produire au mois de novembre,A2
5863,"Grégoire est nul à l'école, tellement nul qu'à toujours ans il est treize en sixième.",A2
5864,La caravane traversait lentement les laisser orangées comme le soleil déclinait lentemement pour enfin disparaître et dunes place au froid glacial et à l'obscurité la plus totale et terrifiante.,C1
5865,Nous comprenons qu'une soit du personnel partie mécontente et méfiante mais nous prendrons toutes les mesures pour éviter que cela nuise au personnel et à notre image de marque.,B2
5866,Quelqu'un a de essayé brûler la maison et on ignore qui et pourquoi.,B1
5867,Elle obligeait à mécaniques des interventions effectuer fréquentes.,B2
5868,J'accepterais ce poste à condition qu'il soit basé à Zurich.,B1
5869,"Bref : réfléchir à l'utilisation que avoir allez en vous et non pas en fonction du prix, même mini !",A2
5870,"C'est son péché mignon ça, verre un bon boire de vin blanc",B1
5871,Elle n'aime pas les que gens je fréquente.,A2
5872,C'est ? le plat du jour s'il vous plaît quoi,A1
5873,"Salut! Je suis et espagnole, toi?",A1
5874,"Au niveau national, la part de patients en réanimation parmi tous ceux qui hospitalisés sont a augmenté ces dernières semaines.",C1
5875,"Honte de devoir leur amour à ma des mon écoeurante beauté qui fait battre les paupières beauté, chéries, ma méprisable beauté dont elles me cassent les oreilles depuis mes seize ans.",C1
5876,"Longtemps, il fut une remplie journée d'obligations sociales.",C1
5877,"Il s'agit d'un processus volontaire et tourné vers l'avenir, qui permet aux leur parties de trouver une issue, deux issue.",B1
5878,"Les bruits de klaxon qui entrecouper les mots des militantes viennent s'expriment, un micro dans leurs mains endolories par le froid matinal.",C1
5879,"Deuxièmement, il y a souvent la crainte, n'est lorsqu'on pas sur les réseaux sociaux, de ""louper quelque chose"".",B1
5880,Je me précipite sur celle terre qui devrait s'entrouvrir pour m'engloutir à jamais ; je qui ma tête sur la pierre froide pose devrait calmer la fièvre ardente qui me dévore.,C2
5881,"En musique, l'épanadiplose d'effets une ressource est mélodiques des comptines.",C2
5882,On a eu aucune nouvelle de août. personne depuis le 15 cette,B1
5883,Les habitants du monde entier applications invités à une assemblée extraordinaire à Nossiop pour réfléchir aux sont de cette nouvelle technologie et à ses conséquences pour l'humanité.,B1
5884,"Alors plusieurs ce texte, vous avez attendu dans expressions idiomatiques.",C2
5885,"Les rien jours, nous ne lui avons premiers dit et elle n'a parlé à personne.",A2
5886,"Jusqu'à la mi-novembre, en fonction de la immersion"" notamment, et moyennant 150 euros par personne et par nuit, les visiteurs pourront s'offrir l'un des vingt ""hébergements en météo, que met en place l'établissement.",C1
5887,Je suis ne qu'un bon soldat timide.,B1
5888,"C'est le constat d'un institut de recherche en Californie qui tient compte pour son calcul de la pression exercée par les sur humains les ressources naturelles, ainsi que de la capacité de la Terre à se régénérer.",A2
5889,Tu fais me plaisir !,A1
5890,entre amour-propre était en tiers Cet Ellénore et moi.,C2
5891,"Le travail d'Alain Reynaud sur la Chine des Zhou orientaux, où l'on comprend que l'unification du monde des Han découle de la configuration géographique des principautés et première leur situation dans l'ensemble des sociétés de l'Eurasie orientale, peut être considéré comme la de oeuvre de cette géohistoire postbraudélienne.",C2
5892,"Si elle avait étudié davantage, elle aurait pu l'examen. réussir",B2
5893,"Raconter tout serait impossible, car il faudrait alors un volume insignifiants moins par journée, pour énumérer les multitudes d'incidents au qui emplissent notre existence.",C1
5894,"Ici, tout la mêlé et accéléré , souligne est sociologue.",C1
5895,La majorité des Français fête Pâques et considère partager date comme une occasion de se retrouver en famille pour cette un bon repas,B1
5896,"Ce le était le vieux serpent, dragon roi.",A2
5897,"en ils gagnent en effcacité et l'employeur Ainsi, profte.",B2
5898,"Que le vulgaire croie à des comètes extraordinaires qui chimères. l'espace, ou à l'existence de monstres antédiluviens qui peuplent l'intérieur du globe, passe encore, mais ni l'astronome, ni le géologue n'admettent de telles traversent",C2
5899,Vous avez physique de l'exercice fait,A2
5900,Tour de du bilan d'horizon ces douze jours de tractations.,C1
5901,Je suis dentiste dans un nouveau cabinet semaine une depuis et j'aime mon travail,B1
5902,"Par conséquent, d'après Marx, les Hommes une détiennent les clés des désirs de l'humanité auront en leur possession un pouvoir immense et qui responsabilité d'autant plus importante",C2
5903,Tapez votre message les sur touches de votre téléphone,A1
5904,J'aimerais bien dans figurant être un film mais je n'ai pas encore eu l'occasion de l'être.,B1
5905,Il sommes quand les préfère ne sont pas arrondies,A2
5906,"Quand joueurs les eurent terminé le match, ils prirent une boisson énergisante.",B2
5907,"Une abeille douloureux. piqué, c'est très m'a",B1
5908,votre est Comment blanquette ?,A2
5909,Quelles sont-les démarches à faire pour ce obtenir documment?,B2
5910,C'est au premier temps colons la colonisation du continent américain par les de européens au XVIIe siècle qu'il faut remonter pour comprendre cette fête si particulière,B2
5911,Rien vaut ne un bon livre !,A2
5912,"Malgré leur situation privilégié, ces chatons connurent famine la misère, la déjà et le froid extrême.",C1
5913,frère un J'ai et une soeur.,A1
5914,"forçait déplaçait les chaises, en faisait des obstacles, la Il à pivoter pendant une minute autour de la même, puis, quittant celle-là, en saisissait une autre.",C2
5915,"Au début, l'Homme est un être naturel comme les animaux, Prométhée, il est aussi naturellement démuni face aux autres car le frère de or Epiméthée, omet de le doter d'une capacité qui lui permettrait de survivre",C2
5916,"Au sein du gouvernement français, rares sont ceux qui peuvent afficher sur leur CV serait-ce ne qu'une année à la fac!",C2
5917,"la élabore des méthodes pour défendre Il ville d'une attaque navale des Turcs avec, notamment, l'invention d'un scaphandre à casque rudimentaire.",C1
5918,Je lis ! livre très intéressant un,A1
5919,Elle allait vers le sud où faisait il moins froid.,A2
